CPF rév. 2.1, 2015 - Niveau 6 - Liste des sous-catégories;
38.12.27;Déchets et débris de piles, batteries et accumulateurs électriques
38.12.29;Autres déchets dangereux
38.12.30;Services des installations de transfert de déchets dangereux
38.21.10;Traitement des déchets non dangereux pour élimination finale
38.21.21;Enfouissement sanitaire
38.21.22;Autre enfouissement
38.21.23;Incinération des déchets non dangereux
38.21.29;Élimination d'autres déchets non dangereux
38.21.30;Déchets de solvants organiques
38.21.40;Cendres et résidus issus de l'incinération des déchets
38.21.50;Pellets de déchets municipaux
38.22.11;Traitement des déchets nucléaires
38.22.19;Traitement d'autres déchets dangereux
38.22.21;Élimination des déchets nucléaires
38.22.29;Élimination d'autres déchets dangereux
38.31.11;Démolition navale
38.31.12;Démantèlement de véhicules automobiles, ordinateurs, téléviseurs et autres matériels obsolètes
38.32.11;Récupération de matériaux métalliques triés
38.32.12;Récupération de matériaux non métalliques triés
38.32.13;Briquettes n.c.a. (produites à partir de plusieurs déchets industriels différents, etc.)
38.32.21;Métaux précieux, sous forme de matières premières secondaires
38.32.22;Métaux ferreux, sous forme de matières premières secondaires
38.32.23;Cuivre, sous forme de matière première secondaire
38.32.24;Nickel, sous forme de matière première secondaire
38.32.25;Aluminium, sous forme de matière première secondaire
38.32.29;Autres métaux, sous forme de matières premières secondaires
38.32.31;Verre, sous forme de matière première secondaire
38.32.32;Papier et carton, sous forme de matière première secondaire
38.32.33;Plastiques, sous forme de matières premières secondaires
38.32.34;Caoutchouc, sous forme de matière première secondaire
38.32.35;Textiles, sous forme de matières premières secondaires
38.32.39;Autres matières premières secondaires non métalliques
39.00.11;Dépollution et nettoyage des sols et eaux souterraines
39.00.12;Dépollution et nettoyage des eaux de surface
39.00.13;Dépollution et nettoyage de l'air
39.00.14;Dépollution des bâtiments
39.00.21;Confinement, contrôle et suivi de la dépollution de sites et autres services de dépollution de sites
39.00.22;Autres services de dépollution
39.00.23;Autres contrôles spécialisés de la pollution
41.00.11;Maisons individuelles
41.00.12;Immeubles à deux logements
41.00.13;Immeubles à trois logements ou plus
41.00.14;Habitat communautaire
41.00.21;Bâtiments industriels
41.00.22;Bâtiments d'exploitation agricole non résidentiels
41.00.23;Immeubles de bureaux
41.00.24;Bâtiments commerciaux
41.00.25;Bâtiments pour les transports et les communications
41.00.26;Réservoirs, silos et entrepôts
41.00.27;Hôtels et bâtiments d'hébergement
41.00.28;Bâtiments à usage récréatif, éducatif, médical, sanitaire ou religieux
41.00.29;Autres bâtiments non résidentiels
41.00.31;Travaux de construction relatifs aux maisons individuelles
41.00.32;Travaux de construction relatifs aux immeubles à deux logements
41.00.33;Travaux de construction relatifs aux immeubles à trois logements ou plus
41.00.34;Travaux de construction relatifs à l'habitat communautaire
41.00.41;Travaux de construction relatifs aux bâtiments industriels
41.00.42;Travaux de construction relatifs aux bâtiments d'exploitation agricole non résidentiels
41.00.43;Travaux de construction relatifs aux immeubles de bureaux
41.00.44;Travaux de construction relatifs aux bâtiments commerciaux
41.00.45;Travaux de construction relatifs aux bâtiments pour les transports et les communications
41.00.46;Travaux de construction relatifs aux réservoirs, silos et entrepôts
41.00.47;Travaux de construction relatifs aux hôtels et bâtiments d'hébergement
41.00.48;Travaux de construction relatifs aux bâtiments à usage récréatif, éducatif, médical, sanitaire ou religieux
41.00.49;Travaux de construction relatifs aux autres bâtiments non résidentiels
42.11.10;Autoroutes, routes, rues, autres chemins pour véhicules et piétons et pistes d'aviation
42.11.20;Travaux de construction relatifs aux autoroutes, routes, rues, autres chemins pour véhicules et piétons et pistes d'aviation
42.12.10;Voies ferrées de surface et souterraines
42.12.20;Travaux de construction relatifs aux voies ferrées de surface et souterraines
42.13.10;Ponts et tunnels
42.13.20;Travaux de construction relatifs aux ponts et tunnels
42.21.11;Réseaux longue distance pour fluides
42.21.12;Réseaux locaux pour fluides
42.21.13;"Systèmes d'irrigation (canaux) ; conduites principales et d'alimentation pour l'eau ; stations de traitement d'eau, stations d'épuration des eaux usées et stations de pompage"
42.21.21;Travaux de construction relatifs aux réseaux longue distance
42.21.22;Travaux de construction relatifs aux réseaux locaux, y compris services auxiliaires
42.21.23;Travaux de construction relatifs aux systèmes d'irrigation (canaux), conduites principales et d'alimentation pour l'eau, stations de traitement d'eau, stations d'épuration des eaux usées et stations de pompage
42.21.24;Forage de puits à eau et travaux d'installation de fosses septiques
42.22.11;Réseaux longue distance d'électricité et de communications
42.22.12;Réseaux locaux d'électricité et de communications
42.22.13;Centrales électriques
42.22.21;Travaux de construction relatifs aux réseaux longue distance d'électricité et de communications
42.22.22;Travaux de construction relatifs aux réseaux locaux d'électricité et de communications
42.22.23;Travaux de construction relatifs aux centrales électriques
42.91.10;Ouvrages côtiers et portuaires, barrages, écluses et autres structures hydromécaniques
42.91.20;Travaux de construction d'ouvrages côtiers et portuaires, barrages, écluses et autres structures hydromécaniques
42.99.11;Ouvrages miniers et industriels
42.99.12;Installations sportives ou récréatives
42.99.19;Autres ouvrages de génie civil n.c.a.
42.99.21;Travaux de construction relatifs aux ouvrages miniers et industriels
42.99.22;Travaux de construction relatifs aux stades et installations sportives de plein air
42.99.29;Travaux de construction relatifs aux ouvrages de génie civil n.c.a.
43.11.10;Travaux de démolition
43.12.11;"Travaux de préparation de sites ; travaux de déblaiement"
43.12.12;Travaux de terrassement
43.13.10;Travaux de forage et de sondage
43.21.10;Travaux d'installation électrique
43.22.11;Travaux d'installation de distribution d'eau et de pose de conduites d'évacuation
43.22.12;Travaux d'installation de chauffage, de ventilation et de climatisation
43.22.20;Travaux d'installation de distribution de gaz
43.29.11;Travaux d'isolation
43.29.12;Travaux d'installation de clôtures et de grilles
43.29.19;Autres travaux d'installation n.c.a.
43.31.10;Travaux de plâtrerie
43.32.10;Travaux de menuiserie
43.33.10;Travaux de carrelage
43.33.21;Travaux de revêtements en granito, marbre, granit et ardoise
43.33.29;Autres travaux de revêtement intérieur des sols et des murs n.c.a.
43.34.10;Travaux de peinture en bâtiment
43.34.20;Travaux de vitrerie
43.39.11;Travaux de ferronnerie décorative
43.39.19;Autres travaux de finition n.c.a.
43.91.11;Travaux de charpente
43.91.19;Autres travaux de couverture
43.99.10;Travaux d'étanchéification
43.99.20;Travaux d'échafaudage
43.99.30;"Travaux de battage de pieux ; travaux de fondation"
43.99.40;Travaux de béton
43.99.50;Travaux de montage d'ossatures métalliques
43.99.60;Travaux de maçonnerie
43.99.70;Travaux de montage sur chantier d'éléments préfabriqués
43.99.90;Travaux de construction spécialisés n.c.a.
45.11.11;Commerce de gros de voitures particulières
45.11.12;Commerce de gros de voitures particulières spécialisées telles qu'ambulances et minibus et de véhicules tout terrain (d'un poids inférieur ou égal à 3,5 tonnes)
45.11.21;Commerce de détail de voitures particulières neuves en magasin spécialisé
45.11.22;Commerce de détail de voitures particulières d'occasion en magasin spécialisé
45.11.23;Commerce de détail de voitures particulières spécialisées neuves telles qu'ambulances et minibus et de véhicules tout terrain neufs (d'un poids inférieur ou égal à 3,5 tonnes) en magasin spécialisé
45.11.24;Commerce de détail de voitures particulières spécialisées d'occasion telles qu'ambulances et minibus et de véhicules tout terrain d'occasion (d'un poids inférieur ou égal à 3,5 tonnes) en magasin spécialisé
45.11.31;Commerce de détail de voitures et de véhicules automobiles légers sur l'internet
45.11.39;Autre commerce de détail de voitures et de véhicules automobiles légers n.c.a.
45.11.41;Services d'intermédiaire du commerce de gros de voitures et véhicules automobiles légers sur l'internet
45.11.49;Autres services d'intermédiaire du commerce de gros de voitures et véhicules automobiles légers
45.19.11;Commerce de gros de poids lourds, camions, remorques, semi-remorques et bus
45.19.12;Commerce de gros de véhicules de camping tels que caravanes et autocaravanes
45.19.21;Commerce de détail de poids lourds, camions, remorques, semi-remorques et bus en magasin spécialisé
45.19.22;Commerce de détail de véhicules de camping tels que caravanes et autocaravanes en magasin spécialisé
45.19.31;Commerce de détail d'autres véhicules automobiles sur l'internet
45.19.39;Autre commerce de détail d'autres véhicules automobiles n.c.a.
45.19.41;Services d'intermédiaire du commerce de gros d'autres véhicules automobiles sur l'internet
45.19.49;Autres services d'intermédiaire du commerce de gros d'autres véhicules automobiles
45.20.11;Entretien et réparation mécaniques (à l'exclusion des réparations concernant le système électrique, les pneumatiques et la carrosserie) de voitures et véhicules utilitaires légers
45.20.12;Réparation du système électrique de voitures et véhicules utilitaires légers
45.20.13;Réparation des pneumatiques, y compris réglage et équilibrage des roues, de voitures et véhicules utilitaires légers
45.20.14;Réparation de la carrosserie et d'autres éléments similaires (portières, serrures, vitres, peinture, réparation après collision) de voitures et véhicules utilitaires légers
45.20.21;Entretien et réparation mécaniques (à l'exclusion des réparations concernant le système électrique et la carrosserie) d'autres véhicules automobiles
45.20.22;Réparation du système électrique d'autres véhicules automobiles
45.20.23;Réparation de la carrosserie et d'autres éléments similaires (portières, serrures, vitres, peinture, réparation après collision) d'autres véhicules automobiles
45.20.30;Lavage, nettoyage et lustrage de véhicules automobiles
45.31.11;Commerce de gros de pneumatiques et chambres à air en caoutchouc
45.31.12;Commerce de gros d'autres pièces détachées et accessoires pour véhicules automobiles
45.31.20;Services d'intermédiaire du commerce de gros de pièces détachées et accessoires pour véhicules automobiles
45.32.11;Commerce de détail de pneumatiques en magasin spécialisé
45.32.12;Commerce de détail d'autres pièces détachées et accessoires pour véhicules automobiles en magasin spécialisé
45.32.21;Commerce de détail de pièces détachées et accessoires pour véhicules automobiles sur l'internet
45.32.22;Commerce de détail de pièces détachées et accessoires pour véhicules automobiles par vente par correspondance
45.32.29;Autre commerce de détail de pièces détachées et accessoires pour véhicules automobiles n.c.a.
45.40.10;Commerce de gros de motocycles, d'accessoires et d'équipements pour les motocycles
45.40.20;Commerce de détail de motocycles, d'accessoires et d'équipements pour les motocycles en magasin spécialisé
45.40.30;Autre commerce de détail de motocycles, d'accessoires et d'équipements pour les motocycles
45.40.40;Services d'intermédiaire du commerce de gros de motocycles, d'accessoires et d'équipements pour motocycles
45.40.50;Entretien et réparation de motocycles
46.11.11;Services d'intermédiaire du commerce de gros d'animaux vivants
46.11.12;Services d'intermédiaire du commerce de gros de fleurs et plantes
